player,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Tajon Buchanan,MF,Canada,23-313,1999,3,3,260,2.9,0,1,0,0,0,1,0,0,0.35,0.35,0,0.35,0.9,0.9,0.5,1.4,0.33,0.17,0.5,0.33,0.5
Takefusa Kubo,FW,Japan,21-197,2001,2,2,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,DF,Japan,24-043,1998,3,1,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.11,0.11,0,0.11
Takuma Asano,FW,Japan,28-038,1994,4,0,165,1.8,1,0,1,0,0,0,0,0.55,0,0.55,0.55,0.55,0.7,0.7,0.2,0.9,0.44,0.17,0.6,0.44,0.6
Takumi Minamino,FW,Japan,27-336,1995,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.36,0,0.36,0.36,0.36
Tarek Salman,DF,Qatar,25-013,1997,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tariq Lamptey,DF,Ghana,22-079,2000,2,1,102,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06
Teun Koopmeiners,MF,Netherlands,24-293,1998,5,1,219,2.4,0,1,0,0,0,1,0,0,0.41,0.41,0,0.41,0.1,0.1,0.2,0.3,0.04,0.09,0.13,0.04,0.13
Theo Hernandez,DF,France,25-073,1997,6,5,508,5.6,1,2,1,0,0,1,0,0.18,0.35,0.53,0.18,0.53,0.4,0.4,1.2,1.6,0.07,0.22,0.29,0.07,0.29
Thiago Almada,MF,Argentina,21-236,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,3.16,3.16,0,3.16
Thiago Silva,DF,Brazil,38-087,1984,4,4,390,4.3,0,1,0,0,0,0,0,0,0.23,0.23,0,0.23,0.2,0.2,0.9,1.1,0.04,0.23,0.27,0.04,0.27
Thibaut Courtois,GK,Belgium,30-221,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thilo Kehrer,DF,Germany,26-088,1996,1,1,69,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Delaney,MF,Denmark,31-106,1991,1,1,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Meunier,DF,Belgium,31-097,1991,3,2,211,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.09,0.21,0.3,0.09,0.3
Thomas Muller,FW,Germany,33-096,1989,3,3,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,0.14,0.28,0.42,0.14,0.42
Thomas Partey,MF,Ghana,29-188,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.07,0.02,0.09,0.07,0.09
Thorgan Hazard,FW,Belgium,29-264,1993,2,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0,1.07,1.07,0,1.07
Tim Ream,DF,United States,35-074,1987,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.07,0,0.07,0.07,0.07
Timothy Castagne,DF,Belgium,27-013,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timothy Weah,FW,United States,22-299,2000,4,4,316,3.5,1,0,1,0,0,0,0,0.28,0,0.28,0.28,0.28,0.6,0.6,0.4,1.1,0.18,0.12,0.31,0.18,0.31
Toby Alderweireld,DF,Belgium,33-291,1989,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0,0,0.3,0.3,0,0.11,0.11,0,0.11
Trent Alexander-Arnold,DF,England,24-072,1998,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Adams,MF,United States,23-307,1999,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.5,0.01,0.11,0.12,0.01,0.12
Unai Simon,GK,Spain,25-190,1997,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uriel Antuna,FW,Mexico,25-119,1997,3,0,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.18,0.02,0.2,0.18,0.2
Vanja Milinkovia-Savia,GK,Serbia,25-301,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Nelsson,DF,Denmark,24-065,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Aboubakar,FW,Cameroon,30-330,1992,3,1,142,1.6,2,1,2,0,0,2,1,1.27,0.63,1.9,1.27,1.9,0.6,0.6,0.6,1.2,0.37,0.39,0.76,0.37,0.76
Vincent Janssen,FW,Netherlands,28-186,1994,2,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0.04,0.13,0.09,0.13
Vinicius Junior,FW,Brazil,22-159,2000,4,4,299,3.3,1,2,1,0,0,0,0,0.3,0.6,0.9,0.3,0.9,1,1,0.7,1.7,0.3,0.2,0.5,0.3,0.5
Virgil van Dijk,DF,Netherlands,31-163,1991,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.04,0.03,0.07,0.04,0.07
Vitinha,MF,Portugal,22-308,2000,3,1,120,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0.03,0.08,0.05,0.08
Wahbi Khazri,FW,Tunisia,31-313,1991,2,1,83,0.9,1,0,1,0,0,0,0,1.08,0,1.08,1.08,1.08,0.4,0.4,0,0.4,0.47,0,0.47,0.47,0.47
Wajdi Kechrida,DF,Tunisia,27-043,1995,3,1,111,1.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.08,0.08,0,0.08
Walid Cheddira,FW,Morocco,24-330,1998,2,0,64,0.7,0,0,0,0,0,2,1,0,0,0,0,0,0.5,0.5,0,0.5,1.24,0,1.24,1.24,1.24
Walker Zimmerman,DF,United States,29-213,1993,4,3,279,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Wataru Endo,MF,Japan,29-312,1993,4,3,304,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.5,0.6,0.06,0.15,0.21,0.06,0.21
Wayne Hennessey,GK,Wales,35-328,1987,2,2,175,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weston McKennie,MF,United States,24-112,1998,4,4,271,3,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.13,0.13,0.27,0.13,0.27
William Carvalho,MF,Portugal,30-255,1992,4,2,215,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
William Saliba,DF,France,21-269,2001,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0,0.11
Wojciech Szczesny,GK,Poland,32-244,1990,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wout Weghorst,FW,Netherlands,30-133,1992,4,0,64,0.7,2,0,2,0,0,1,0,2.81,0,2.81,2.81,2.81,0.2,0.2,0,0.2,0.52,0.08,0.6,0.52,0.6
Weverton,GK,Brazil,35-005,1987,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavi Simons,FW,Netherlands,19-241,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,FW,Switzerland,31-069,1991,3,3,229,2.5,1,1,1,0,0,0,0,0.39,0.39,0.79,0.39,0.79,0.3,0.3,0.9,1.2,0.12,0.35,0.47,0.12,0.47
Yahya Attiat Allah,DF,Morocco,27-291,1995,6,2,318,3.5,0,1,0,0,0,0,0,0,0.28,0.28,0,0.28,0.2,0.2,1.2,1.4,0.07,0.37,0.44,0.07,0.44
Yahya Jabrane,MF,Morocco,31-183,1991,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Yann Sommer,GK,Switzerland,34-001,1988,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yannick Carrasco,FW,Belgium,29-105,1993,2,2,116,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.22,0,0.22,0.22,0.22
Yasser Al-Shahrani,DF,Saudi Arabia,30-207,1992,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yassine Bounou,GK,Morocco,31-257,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yassine Meriah,DF,Tunisia,29-169,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.04,0.02,0.04
Yeltsin Tejeda,MF,Costa Rica,30-276,1992,3,3,269,3,1,1,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67,0.4,0.4,0.1,0.5,0.14,0.02,0.17,0.14,0.17
Youri Tielemans,MF,Belgium,25-225,1997,3,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
Youssef En-Nesyri,FW,Morocco,25-200,1997,7,7,542,6,2,0,2,0,0,0,0,0.33,0,0.33,0.33,0.33,1.2,1.2,0,1.3,0.21,0.01,0.21,0.21,0.21
Youssef Msakni,MF,Tunisia,32-051,1990,2,2,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.6,1.2,0.29,0.34,0.62,0.29,0.62
Youssouf Fofana,MF,France,23-342,1999,6,2,227,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.07,0.07,0.14,0.07,0.14
Youssouf Sabaly,DF,Senegal,29-288,1993,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.01,0.16,0.18,0.01,0.18
Youssoufa Moukoko,FW,Germany,18-028,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youstin Salas,DF,Costa Rica,26-184,1996,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuki Soma,FW,Japan,25-296,1997,1,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.21,0,0.21,0.21,0.21
Yunus Musah,MF,United States,20-019,2002,4,4,343,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.08,0.02,0.11,0.08,0.11
Yuto Nagatomo,MF,Japan,36-097,1986,4,4,209,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05
Zakaria Aboukhlal,FW,Morocco,22-303,2000,4,0,79,0.9,1,0,1,0,0,0,0,1.14,0,1.14,1.14,1.14,1,1,0,1,1.16,0,1.16,1.16,1.16
Alvaro Morata,FW,Spain,30-056,1992,4,1,185,2.1,3,1,3,0,0,0,0,1.46,0.49,1.95,1.46,1.95,1.4,1.4,0.2,1.6,0.79,0.14,0.93,0.79,0.93
Alvaro Zamora,MF,Costa Rica,20-284,2002,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Correa,MF,Argentina,27-284,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Di Maria,MF,Argentina,34-307,1988,5,4,288,3.2,1,1,1,0,0,0,0,0.31,0.31,0.62,0.31,0.62,0.8,0.8,0.6,1.4,0.27,0.2,0.46,0.27,0.46
Angelo Preciado,DF,Ecuador,24-303,1998,3,3,264,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.1,0.1,0.4,0.5,0.02,0.14,0.17,0.02,0.17
Eder Militao,DF,Brazil,24-334,1998,4,4,347,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.05,0.01,0.05,0.05,0.05
Oscar Duarte,DF,Costa Rica,33-198,1989,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.09,0.09,0,0.09
Ilkay Gundogan,MF,Germany,32-055,1990,3,3,189,2.1,1,0,0,1,1,0,0,0.48,0,0.48,0,0,1.1,0.4,0.1,0.5,0.54,0.05,0.6,0.17,0.22
